entry_date,exit_date,stock1,stock2,position,entry_price1,entry_price2,exit_price1,exit_price2,entry_zscore,exit_zscore,hedge_ratio,position_size,gross_pnl,transaction_costs,net_pnl,return_pct,days_held,capital_after
2023-05-09,2023-06-21,ICICIBANK.NS,HDFCBANK.NS,short,911.8255004882812,791.2803955078125,902.3598022460938,796.023193359375,2.621735211256734,0.022755121798509925,1.1687305372810595,100,1500.8750923459595,366.9315478979277,1133.9435444480316,0.6174081320088531,43,1001133.943544448
2023-12-26,2024-01-12,ICICIBANK.NS,HDFCBANK.NS,long,979.0520629882812,818.8244018554688,987.3165893554688,798.74853515625,-2.7527829427456085,0.16067108671703206,1.1687305372810595,100,3172.780484094836,385.6875540108758,2787.0929300839603,1.4395864953765545,17,1003921.036474532
2024-01-23,2024-04-02,ICICIBANK.NS,HDFCBANK.NS,short,1012.45458984375,694.6708374023438,1063.7635498046875,720.367919921875,4.428277799508732,0.4994249860814367,1.1687305372810595,100,-2127.599490133002,373.0017146769494,-2500.6012048099515,-1.3706899369417254,70,1001420.435269722
2025-10-07,2025-10-17,ICICIBANK.NS,HDFCBANK.NS,long,1375.9000244140625,982.5,1436.5999755859375,1002.5499877929688,-2.514005251612358,-0.2666131655727932,1.1687305372810595,100,3726.691816611995,513.2488538763038,3213.4429627356913,1.2730652300497853,10,1004633.8782324577
2025-10-23,2025-11-13,ICICIBANK.NS,HDFCBANK.NS,long,1363.699951171875,1008.7999877929688,1385.9000244140625,986.6500244140625,-3.29240062963953,-0.3408173322639185,1.1687305372810595,100,4808.74118427724,508.1743340470158,4300.566850230224,1.691328496470377,21,1008934.4450826879
2023-09-25,2023-10-20,HDFCBANK.NS,SBIN.NS,long,745.1158447265625,572.7516479492188,741.125,542.9113159179688,-2.66384697172703,-0.26615660467452396,1.1665144481744816,100,3081.8333726214396,278.76778113708014,2803.065591484359,1.9834336269829562,25,1002803.0655914843
2024-01-19,2024-04-04,HDFCBANK.NS,SBIN.NS,long,715.744384765625,605.2434692382812,743.4611206054688,732.0770263671875,-3.8085253024460797,-0.3221170971587018,1.1665144481744816,100,-12023.644106438891,301.9209185334731,-12325.565024972364,-8.669171650822987,76,990477.500566512
2025-02-10,2025-03-24,HDFCBANK.NS,SBIN.NS,short,846.4337158203125,722.2965698242188,887.9969482421875,765.4304809570312,2.573145557508555,0.30389975047934814,1.1665144481744816,100,875.3098120824902,346.9885763738839,528.3212357086063,0.3128006310867702,42,991005.8218022207
2025-05-08,2025-05-14,HDFCBANK.NS,SBIN.NS,short,951.3900756835938,753.8627319335938,942.5594482421875,784.9387817382812,2.641265680893176,0.3111221952375084,1.1665144481744816,100,4508.1288530763995,368.8983722496786,4139.230480826721,2.2609086349816088,6,995145.0522830473
2025-07-31,2025-08-08,HDFCBANK.NS,SBIN.NS,short,1009.0999755859375,796.5499877929688,986.9500122070312,804.2999877929688,2.345007773213246,0.4383398322026121,1.1665144481744816,100,3119.045035225848,386.3464613673731,2732.698573858475,1.4098523646700558,8,997877.7508569058
2025-09-22,2025-12-10,HDFCBANK.NS,SBIN.NS,long,964.2000122070312,855.25,989.7999877929688,959.75,-2.478194744315849,-0.9418472615121665,1.1665144481744816,100,-9630.078424829582,407.1223723436684,-10037.200797173251,-5.116161781974915,79,987840.5500597326
2024-01-24,2024-03-05,HDFCBANK.NS,KOTAKBANK.NS,long,708.5657958984375,1784.584228515625,701.2411499023438,1711.847900390625,-2.2950338462451154,-0.41145780671987564,0.3715324767473413,100,1969.9262141694799,270.88450344322996,1699.04171072625,1.2387326346984564,41,1001699.0417107262
2024-04-29,2024-05-21,HDFCBANK.NS,KOTAKBANK.NS,short,744.3858642578125,1636.717041015625,719.6722412109375,1694.4371337890625,3.2580047076272436,0.3807852752680784,0.3715324767473413,100,4615.851207307655,270.16900664611813,4345.6822006615375,3.2131226545021,22,1006044.7239113877
2024-10-23,2024-12-31,HDFCBANK.NS,KOTAKBANK.NS,short,856.3251342773438,1765.76416015625,874.6029663085938,1783.9931640625,3.339644937493974,0.08040901493348984,0.3715324767473413,100,-1150.5165061323978,304.97782311049446,-1455.4943292428923,-0.9623969217424817,69,1004589.2295821449
2025-05-07,2025-06-16,HDFCBANK.NS,KOTAKBANK.NS,short,959.8259887695312,2092.4873046875,954.7940673828125,2136.53662109375,2.956247475132001,0.4262851447308019,0.3715324767473413,100,2139.767301016011,348.5839789521616,1791.1833220638496,1.0310434594462474,40,1006380.4129042088
2025-07-29,2025-08-29,HDFCBANK.NS,KOTAKBANK.NS,short,1010.7999877929688,1972.699951171875,951.5999755859375,1960.300048828125,4.103544538406554,0.35878401633445767,0.3715324767473413,100,5459.304577783265,342.36371944262,5116.940858340645,2.9344933449342103,31,1011497.3537625493
2023-05-26,2023-07-03,HDFCBANK.NS,AXISBANK.NS,long,786.3868408203125,924.5008544921875,837.0021362304688,979.505126953125,-2.376290695695019,-0.44461744885324506,0.9614944227489685,100,-227.1005788399833,345.40801090911253,-572.5085897490958,-0.34173715829445195,38,999427.4914102509
2023-08-28,2023-10-23,HDFCBANK.NS,AXISBANK.NS,long,767.868408203125,988.591552734375,732.9730834960938,962.7335815429688,-2.478066610010693,-0.38058559421034827,0.9614944227489685,100,-1003.3029622890641,337.7029725276767,-1341.0059348167408,-0.7803834221754746,56,998086.4854754341
