Stock1,Stock2,P-Value,Cointegration_Score
TCS.NS,LTIM.NS,0.04043736404347567,-3.4175583830582044
TECHM.NS,LTIM.NS,0.001247475291472154,-4.495120988074328
TECHM.NS,MPHASIS.NS,0.006576907761178833,-4.026666306610724
LTIM.NS,MPHASIS.NS,0.01740287878096259,-3.717394678827612
LTIM.NS,COFORGE.NS,0.03820436526937024,-3.438954388526077
