entry_date,exit_date,stock1,stock2,position,entry_price1,entry_price2,exit_price1,exit_price2,entry_zscore,exit_zscore,hedge_ratio,pnl,capital_after
2023-05-26,2023-06-21,ICICIBANK.NS,HDFCBANK.NS,short,927.731689453125,786.3867797851562,902.3597412109375,796.0231323242188,2.1765657685559154,0.022755179140593478,1.1687305437966924,3663.4247785382654,1003663.4247785383
2023-07-28,2023-10-20,ICICIBANK.NS,HDFCBANK.NS,short,972.1324462890625,799.8680419921875,917.7075805664062,741.1250610351562,2.4931341892958607,0.3823810285391981,1.1687305437966924,-1422.9850355493625,1002240.4397429889
2023-11-07,2023-11-16,ICICIBANK.NS,HDFCBANK.NS,short,932.8099975585938,723.8233032226562,920.9051513671875,734.0924072265625,2.179632656600044,0.40496479468712887,1.1687305437966924,2390.6661698196394,1004631.1059128086
2023-12-21,2024-01-12,ICICIBANK.NS,HDFCBANK.NS,long,988.2020874023438,820.8927612304688,987.3165893554688,798.7485961914062,-2.653655806686331,0.16066717100994457,1.1687305437966924,2499.506400115222,1007130.6123129238
2024-01-18,2024-04-02,ICICIBANK.NS,HDFCBANK.NS,short,970.443115234375,723.2880249023438,1063.7635498046875,720.3678588867188,3.111113810048689,0.49942597896068747,1.1687305437966924,-9673.332178573053,997457.2801343508
2024-06-14,2024-06-26,ICICIBANK.NS,HDFCBANK.NS,long,1087.8192138671875,787.8013305664062,1198.357421875,839.40380859375,-2.1314391808989157,-0.17608276728036396,1.1687305437966924,5022.8815801658175,1002480.1617145166
2024-11-19,2024-11-26,ICICIBANK.NS,HDFCBANK.NS,long,1239.53564453125,859.507080078125,1294.9580078125,880.8683471679688,-2.1176348276587382,-0.43198895583735364,1.1687305437966924,3045.6797979150524,1005525.8415124316
2025-02-28,2025-03-11,ICICIBANK.NS,HDFCBANK.NS,long,1194.8802490234375,854.6477661132812,1235.864013671875,831.510498046875,-3.6263192797050765,0.401569119938897,1.1687305437966924,6802.499653765833,1012328.3411661974
2025-03-21,2025-04-07,ICICIBANK.NS,HDFCBANK.NS,short,1332.81591796875,873.3696899414062,1277.6912841796875,867.1289672851562,2.4330213398908023,0.0712853336416204,1.1687305437966924,4783.0910605339095,1017111.4322267313
2025-04-29,2025-06-04,ICICIBANK.NS,HDFCBANK.NS,short,1418.85205078125,941.6714477539062,1420.0428466796875,957.6553344726562,2.0834997714363075,0.27775487000048793,1.1687305437966924,1749.0060718351917,1018860.4382985665
2025-07-01,2025-07-21,ICICIBANK.NS,HDFCBANK.NS,long,1421.03515625,1003.5526123046875,1454.576416015625,997.7670288085938,-2.288555608718724,-0.1919735128445753,1.1687305437966924,4030.3047911195818,1022890.743089686
2025-09-29,2025-10-17,ICICIBANK.NS,HDFCBANK.NS,long,1348.0999755859375,950.2999877929688,1436.5999755859375,1002.5499877929688,-2.557119281881179,-0.2666131736282811,1.1687305437966924,2743.3829086622823,1025634.1259983483
2025-10-20,2025-11-13,ICICIBANK.NS,HDFCBANK.NS,long,1390.300048828125,1002.9500122070312,1385.9000244140625,986.6500244140625,-2.4003939566281742,-0.340817333363706,1.1687305437966924,1465.0269183093314,1027099.1529166576
2024-01-30,2024-04-04,HDFCBANK.NS,SBIN.NS,long,702.9202270507812,604.279296875,743.461181640625,732.0770263671875,-2.7423260557116453,-0.3221164964945562,1.1665144471231237,-10853.694317232586,989146.3056827674
2024-05-09,2024-06-04,HDFCBANK.NS,SBIN.NS,long,704.4776000976562,790.4078979492188,731.6848754882812,759.9407348632812,-2.5304362389804598,0.1705839865740353,1.1665144471231237,6274.766129322742,995421.0718120901
2024-09-11,2024-10-09,HDFCBANK.NS,SBIN.NS,short,810.9879150390625,753.4706420898438,805.6846313476562,781.7037353515625,2.028936734004385,0.25427898291025697,1.1665144471231237,3823.7594868175684,999244.8312989076
2024-12-27,2025-01-16,HDFCBANK.NS,SBIN.NS,short,887.1336669921875,783.9094848632812,815.008544921875,751.2158813476562,2.2627003599134623,0.10070776261382573,1.1665144471231237,3398.756124082059,1002643.5874229897
